No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
1,289,0,1,2,12,0,0,1,1,0,0,0,0,0,0,0,0
2,57,0,5,8,20,0,0,1,1,0,0,0,0,0,0,0,0
3,126,0,6,6,23,0,0,1,1,0,0,0,0,0,0,0,0
4,271,0,3,5,22,0,0,1,1,0,0,0,0,0,0,0,0
5,20,0,3,4,16,0,0,1,2,1,0,0,1,0,0,0,0
6,216,0,6,2,12,0,0,1,1,2,0,0,1,0,0,0,0
7,415,0,3,2,16,0,1,1,1,2,0,0,1,0,0,0,0
8,11,0,1,1,17,0,1,1,1,3,0,0,1,0,0,0,0
9,166,0,4,4,22,0,0,1,2,0,0,0,1,0,0,0,0
10,107,0,1,2,20,0,0,1,1,0,0,0,0,0,0,0,0
11,242,0,0,2,19,0,0,1,1,0,0,0,1,0,0,0,0
12,66,0,2,3,20,0,0,1,1,0,0,0,1,0,0,0,0
13,96,0,1,3,19,0,0,1,1,1,0,0,1,0,0,0,0
14,172,0,5,2,19,0,0,1,1,0,0,0,0,0,0,0,0
15,238,0,6,3,14,0,0,1,1,0,0,0,1,0,0,0,0
16,330,0,3,1,13,0,0,1,1,0,0,0,1,0,0,0,0
17,81,0,3,2,19,0,1,1,1,1,1,2,3,30000,4,0,1750
18,392,0,6,2,20,0,0,1,1,0,0,0,0,0,0,0,0
19,435,1,3,9,7,0,0,1,1,1,1,1,3,10000,4,0,978
20,361,1,45537,9,8,0,0,1,1,2,1,1,2,3000,3,0,1606
21,209,1,4,9,8,0,0,1,1,2,0,0,0,0,0,0,0
22,248,1,0,4,2,1,1,1,1,1,1,1,3,2000,5,50,607682
23,250,1,6,5,1,0,6,1,1,4,1,4,2,2000,4,0,29862
24,185,1,1,2,1,1,3,1,1,3,1,5,1,30000,5,0,969
25,296,1,1,1,5,0,0,1,1,1,1,1,2,10000,4,0,3212
26,101,1,0,1,2,2,2,1,1,1,1,5,3,2000,4,4,23474
27,188,1,45413,1,6,2,3,1,1,2,1,1,4,15000,5,0,607682
28,320,1,1,2,4,4,1,1,1,5,1,5,2,18000,4,0,626016
29,22,1,5,5,7,0,3,1,1,4,1,2,4,30000,4,0,3212
30,354,1,2,6,8,0,0,1,1,2,0,0,0,0,0,0,0
31,118,1,3,6,8,0,0,1,1,1,0,0,0,0,0,0,0
32,122,3,8,7,38,0,0,1,1,0,0,0,0,0,0,0,0
33,199,3,3,6,43,0,0,1,1,0,0,0,0,0,0,0,0
34,295,3,3,5,42,0,0,1,1,0,0,0,0,0,0,0,0
35,303,3,3,4,45,0,0,1,1,1,0,0,0,0,0,0,0
36,353,3,3,2,42,0,2,1,1,0,0,0,0,0,0,0,0
37,158,3,45384,4,39,0,0,1,1,0,0,0,0,0,0,0,0
38,232,3,2,4,40,0,1,1,1,0,0,0,0,0,0,0,0
39,231,3,9,6,37,0,0,1,1,2,0,0,0,0,0,0,0
40,177,3,5,2,38,0,1,1,1,0,0,0,0,0,0,0,0
41,74,3,1,3,40,0,0,1,1,0,0,0,0,0,0,0,0
42,168,3,4,4,45,1,3,1,1,0,0,0,0,0,0,0,0
43,230,3,6,5,45,0,0,1,1,1,0,0,0,0,0,0,0
44,52,3,5,6,53,0,0,1,1,1,0,0,0,0,0,0,0
45,171,3,2,3,44,0,3,1,1,0,0,0,0,0,0,0,0
46,176,3,4,3,42,0,0,1,1,0,0,0,0,0,0,0,0
47,73,3,7,1,39,0,9,1,1,4,0,0,0,0,0,0,0
48,268,3,5,2,42,0,0,1,1,0,0,0,0,0,0,0,0
49,5,3,8,4,43,0,0,1,1,0,0,0,0,0,0,0,0
50,150,3,5,7,2,0,0,1,1,1,0,0,0,0,0,0,0
51,93,4,7,1,6,0,5,1,1,1,1,3,1,25000,4,0,2322
52,428,4,7,1,6,0,5,1,1,2,0,0,0,0,0,0,0
53,138,4,2,2,8,0,0,1,1,0,0,0,0,0,0,0,0
54,218,4,6,2,7,0,0,1,1,2,0,0,0,0,0,0,0
55,64,4,10,3,9,0,1,1,1,1,0,0,0,0,0,0,0
56,161,4,3,3,8,0,0,1,1,0,0,0,0,0,0,0,0
57,10,4,1,3,8,0,0,1,1,0,0,0,0,0,0,0,0
58,368,4,0,4,12,0,0,1,1,0,0,0,0,0,0,0,0
59,299,4,5,6,11,0,0,1,1,0,0,0,0,0,0,0,0
60,325,4,0,7,13,0,0,1,1,1,0,0,0,0,0,0,0
61,3,4,4,8,13,0,0,1,1,1,0,0,0,0,0,0,0
62,68,4,5,8,14,0,0,1,1,1,0,0,0,0,0,0,0
63,321,6,4,6,32,0,0,1,1,1,0,0,0,0,0,0,0
64,151,6,5,5,30,0,0,1,1,1,0,0,0,0,0,0,0
65,319,6,4,2,28,0,0,1,1,5,0,0,0,0,0,0,0
66,116,6,3,1,27,0,0,1,1,4,0,0,0,0,0,0,0
67,279,6,45295,3,28,0,0,1,1,0,0,0,0,0,0,0,0
